exp_name,sample,accession,lane,organism
KD6_seq1_essential_mRNA_lane_9_S57,SRX15390554,SRR19330651,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_13_S61,SRX15390598,SRR19331107,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_13_S61,SRX15390598,SRR19331105,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_13_S61,SRX15390598,SRR19331104,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_13_S61,SRX15390598,SRR19331106,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_13_S37,SRX15390602,SRR19331102,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_13_S37,SRX15390602,SRR19331100,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_13_S37,SRX15390602,SRR19331099,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_13_S37,SRX15390602,SRR19331103,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_14_S62,SRX15390611,SRR19331091,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_14_S62,SRX15390611,SRR19331092,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_14_S62,SRX15390611,SRR19331094,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_14_S62,SRX15390611,SRR19331093,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_2_S26,SRX15390615,SRR19331090,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_2_S26,SRX15390615,SRR19331373,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_2_S26,SRX15390615,SRR19331362,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_2_S26,SRX15390615,SRR19331159,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_14_S38,SRX15390616,SRR19331089,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_14_S38,SRX15390616,SRR19331088,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_14_S38,SRX15390616,SRR19331380,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_14_S38,SRX15390616,SRR19331087,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_20_S68,SRX15390619,SRR19331085,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_20_S68,SRX15390619,SRR19331083,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_20_S68,SRX15390619,SRR19331082,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_20_S68,SRX15390619,SRR19331086,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_20_S44,SRX15390624,SRR19331080,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_20_S44,SRX15390624,SRR19331079,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_20_S44,SRX15390624,SRR19331081,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_20_S44,SRX15390624,SRR19331078,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_3_S51,SRX15390632,SRR19331334,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_3_S51,SRX15390632,SRR19331345,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_3_S51,SRX15390632,SRR19331356,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_3_S51,SRX15390632,SRR19331073,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_21_S69,SRX15390633,SRR19331070,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_21_S69,SRX15390633,SRR19331071,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_21_S69,SRX15390633,SRR19331072,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_21_S69,SRX15390633,SRR19331069,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_21_S45,SRX15390637,SRR19331067,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_21_S45,SRX15390637,SRR19331068,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_21_S45,SRX15390637,SRR19331065,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_21_S45,SRX15390637,SRR19331066,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_27_S51,SRX15390645,SRR19331057,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_27_S51,SRX15390645,SRR19331058,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_27_S51,SRX15390645,SRR19331059,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_27_S51,SRX15390645,SRR19331060,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_28_S76,SRX15390654,SRR19331049,L002,Homo sapiens
