exp_name,srx,srr
jurkat_sgRNA_20_4_L004,SRX24258264,SRR28690113
jurkat_mRNA_3_1_L001,SRX24258265,SRR28690112
jurkat_mRNA_21_1_L001,SRX24258266,SRR28690111
jurkat_mRNA_23_1_L002,SRX24258267,SRR28690110
jurkat_sgRNA_23_1_L002,SRX24258268,SRR28690109
jurkat_mRNA_23_1_L003,SRX24258269,SRR28690108
jurkat_sgRNA_23_1_L003,SRX24258270,SRR28690107
jurkat_sgRNA_3_1_L004,SRX24258271,SRR28690106
jurkat_mRNA_23_1_L004,SRX24258272,SRR28690105
jurkat_sgRNA_23_1_L004,SRX24258273,SRR28690104
jurkat_mRNA_23_2_L001,SRX24258274,SRR28690103
jurkat_sgRNA_23_2_L001,SRX24258275,SRR28690102
jurkat_mRNA_23_2_L002,SRX24258276,SRR28690101
jurkat_sgRNA_23_2_L002,SRX24258277,SRR28690100
jurkat_mRNA_23_2_L003,SRX24258278,SRR28690099
jurkat_sgRNA_23_2_L003,SRX24258279,SRR28690098
jurkat_mRNA_23_2_L004,SRX24258280,SRR28690097
jurkat_sgRNA_23_2_L004,SRX24258281,SRR28690096
jurkat_mRNA_3_2_L001,SRX24258282,SRR28690095
